species,previous_name,notes,dissected,ID,Genus,SP,colletor,full_locality_in_label,country,state,locality,updated locality,are_coordinates_original,longitude,latitude,is_date_legible,day_start,month_start,year_start,day_end,month_end,year_end,collection,metadata_notes,sex,head_width,eyes_above,rotrum_width_base,rostrum_width_apex,rostrum_length,pronotum_length,pronotum_width,scutellum_length,scutellum_width,eyes_below,eye_height,eye_length,elytra_length,elytrum_width,prosternum_length,coxae_width,antennae_scape_length,antennae_scape_width,antennae_flagellum_1_length,antennae_flagellum_2_length,antennae_flagellum_3_length,antennae_flagellum_4_length,antennae_flagellum_5_length,antennae_flagellum_6_length,antennae_flagellum_7_length,antennae_flagellum_1_width,antennae_flagellum_2_width,antennae_flagellum_3_width,antennae_flagellum_4_width,antennae_flagellum_5_width,antennae_flagellum_6_width,antennae_flagellum_7_width,antennae_club_length,antennae_club_width,antennae_flagellum_total_length,antennae_flagellum_max_width,femur_length,femur_width,tibia_length,tibia_width
Anchylorhynchus_aegrotus,,NA,F,aegrotus_1,Anchylorhynchus,aegrotus,K. Lenko,Barueri-SP,Brazil,São Paulo,Barueri,NA,F,-46.8761,-23.5106,T,NA,11,1965,NA,NA,NA,MZSP,,male,0.8300,0.1940,0.3570,0.4690,1.2340,1.1590,2.2430,0.1530,0.1340,0.2700,0.4660,0.2890,4.1890,1.4130,0.4190,0.3880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_aegrotus,,NA,F,aegrotus_3,Anchylorhynchus,aegrotus,Exp. Dep. Zool.,Eug. Lefevre 1200 m. Pindamonhangaba-SP,Brazil,São Paulo,"Pindamonhangaba, Eug. Lefevre",NA,F,-45.4617,-22.9239,T,21,12,1962,NA,NA,NA,MZSP,,male,0.7920,0.1830,0.3420,0.4530,1.1900,1.0730,2.0860,0.1670,0.1340,NA,NA,NA,3.7800,1.2860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_aegrotus,,NA,F,aegrotus_5,Anchylorhynchus,aegrotus,F. Halik,"Santana, São Paulo-SP",Brazil,São Paulo,"São Paulo, Santana",NA,F,-46.62639,-23.50417,T,15,12,1957,NA,NA,NA,MZSP,,male,0.8400,0.1880,0.3560,0.4860,1.2110,1.1710,2.2910,NA,NA,0.2160,0.5080,0.3430,4.3150,1.5930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_aegrotus,,NA,F,aegrotus_7,Anchylorhynchus,aegrotus,F. Halik,"Santana, São Paulo-SP",Brazil,São Paulo,"São Paulo, Santana",NA,F,-46.62639,-23.50417,T,NA,1,1958,NA,NA,NA,MZSP,,male,0.6580,0.1410,0.2920,0.3870,0.9170,0.8420,1.6330,0.1490,0.1200,0.2050,0.4000,0.2520,3.4160,1.1130,0.3320,0.3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_aegrotus,,NA,F,aegrotus_10,Anchylorhynchus,aegrotus,Dirings,Rio Vermelho - SC,Brazil,Santa Catarina,Rio Vermelho,NA,F,-48.3667,-27.45,T,NA,3,1957,NA,NA,NA,MZSP,,male,0.7590,0.1630,0.3320,0.4310,1.0860,0.9720,1.9200,NA,NA,0.2170,0.5180,0.2920,3.8690,1.3210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_aegrotus,,NA,F,aegrotus_11,Anchylorhynchus,aegrotus,Dirings,Carquejo-CE,Brazil,Ceará,Carquejo,likely mistake,F,NA,NA,T,NA,3,1949,NA,NA,NA,MZSP,,male,0.6690,0.1380,0.2830,0.3840,1.0110,0.8810,1.6570,0.1550,0.1130,0.2390,0.4170,0.2400,3.5340,1.0890,0.3040,0.3190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_aegrotus,,NA,T,aegrotus_13,Anchylorhynchus,aegrotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,temporary label removed before adding specimen data to database,male,0.7300,0.1590,0.3240,0.3940,1.0310,0.9480,1.7810,0.1570,0.1440,0.2040,0.4590,0.2800,3.5090,1.1990,0.3130,0.3420,0.7770,0.0950,0.1760,0.1600,0.0960,0.0670,0.0900,0.0930,NA,0.0620,0.0520,0.0600,0.0680,0.0690,0.0960,NA,0.3520,0.1300,0.6820,0.0960,1.2060,0.4150,1.0470,0.1280
Anchylorhynchus_aegrotus,,NA,T,aegrotus_14,Anchylorhynchus,aegrotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,temporary label removed before adding specimen data to database,male,0.8160,0.2000,0.3880,0.4900,1.2670,1.1130,2.2750,0.1650,0.1760,0.2260,0.5360,0.3180,4.2760,1.4020,0.4230,0.3860,0.9390,0.1220,0.1880,0.1950,0.1140,0.0910,0.0960,0.1260,NA,0.0820,0.0670,0.0730,0.0680,0.0850,0.0980,NA,0.4160,0.1400,0.8100,0.0980,1.4150,0.5260,1.2650,0.1660
Anchylorhynchus_aegrotus,,NA,F,aegrotus_2,Anchylorhynchus,aegrotus,F. Plaumann,Nova Teutônia - SC,Brazil,Santa Catarina,Nova Teutônia,"Seara, Nova Teutônia",F,-52.4242,-27.1636,T,NA,12,1965,NA,NA,NA,MZSP,,female,0.7320,0.1990,0.3380,0.4360,1.0790,0.9810,1.7710,0.1580,0.1330,0.2000,0.4620,0.2930,3.7560,1.3330,0.3370,0.3550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_aegrotus,,NA,F,aegrotus_4,Anchylorhynchus,aegrotus,K. Lenko,Barueri-SP,Brazil,São Paulo,Barueri,NA,F,-46.8761,-23.5106,T,4,1,1967,NA,NA,NA,MZSP,,female,0.7300,0.1740,0.3240,0.4210,1.0510,0.9400,1.5310,0.1540,0.1340,0.1830,0.4380,0.2860,3.7670,1.2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
