tips,character,start,end
Anchylorhynchus_aegrotus,0,2,0/1
Anchylorhynchus_aegrotus,32,2,1
Anchylorhynchus_aegrotus,40,2,3
Anchylorhynchus_aegrotus,58,2,1
Anchylorhynchus_aegrotus,81,0,1
Anchylorhynchus_aegrotus,102,1,3
Anchylorhynchus_aegrotus,106,1,0
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis",22,0,1
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis",37,1,0
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis",73,0,1
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis,Anchylorhynchus_vanini",12,2,1
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis,Anchylorhynchus_vanini",13,2,0
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis,Anchylorhynchus_vanini",14,0,2
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis,Anchylorhynchus_vanini",21,0,1
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis,Anchylorhynchus_vanini",55,0,1
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis,Anchylorhynchus_vanini",69,0,1
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis,Anchylorhynchus_vanini,Anchylorhynchus_bicarinatus,Anchylorhynchus_tricarinatus",49,0,1
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis,Anchylorhynchus_vanini,Anchylorhynchus_bicarinatus,Anchylorhynchus_tricarinatus",51,0,1
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis,Anchylorhynchus_vanini,Anchylorhynchus_bicarinatus,Anchylorhynchus_tricarinatus,Anchylorhynchus_minimus,Anchylorhynchus_tremolerasi,Anchylorhynchus_parcus,Anchylorhynchus_chrysomeloides,Anchylorhynchus_bicolor,Anchylorhynchus_multisquamis,Anchylorhynchus_burmeisteri",29,1,2
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis,Anchylorhynchus_vanini,Anchylorhynchus_bicarinatus,Anchylorhynchus_tricarinatus,Anchylorhynchus_minimus,Anchylorhynchus_tremolerasi,Anchylorhynchus_parcus,Anchylorhynchus_chrysomeloides,Anchylorhynchus_bicolor,Anchylorhynchus_multisquamis,Anchylorhynchus_burmeisteri",37,0,1
"Anchylorhynchus_aegrotus,Anchylorhynchus_bucki,Anchylorhynchus_vittipennis,Anchylorhynchus_variabilis,Anchylorhynchus_vanini,Anchylorhynchus_bicarinatus,Anchylorhynchus_tricarinatus,Anchylorhynchus_minimus,Anchylorhynchus_tremolerasi,Anchylorhynchus_parcus,Anchylorhynchus_chrysomeloides,Anchylorhynchus_bicolor,Anchylorhynchus_multisquamis,Anchylorhynchus_burmeisteri",59,1,0
